epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6774.49,0.3789,0.4321,1.00991,0.94203,0.9498,0.97776,0.94506,0.30791,0.28528,0.96833,0.000544625,0.000544625,0.000544625
59,6884.18,0.38399,0.42763,1.00941,0.93142,0.92975,0.98009,0.94597,0.30858,0.30052,0.9594,0.00053225,0.00053225,0.00053225
60,6994.09,0.3804,0.43071,1.00776,0.95404,0.95003,0.98322,0.9497,0.30559,0.27127,0.96295,0.000519875,0.000519875,0.000519875
61,7104.68,0.38552,0.43353,1.01207,0.95241,0.95216,0.97935,0.93899,0.31009,0.29455,0.96667,0.0005075,0.0005075,0.0005075
62,7214.71,0.38235,0.42713,1.01067,0.95206,0.94523,0.98226,0.94986,0.30137,0.28022,0.95598,0.000495125,0.000495125,0.000495125
63,7324.81,0.37131,0.4292,1.00043,0.94797,0.92909,0.97829,0.93969,0.29966,0.29545,0.96802,0.00048275,0.00048275,0.00048275
64,7435.25,0.37809,0.41467,1.00528,0.96028,0.94911,0.98194,0.95286,0.29834,0.27632,0.95533,0.000470375,0.000470375,0.000470375
65,7551.05,0.37813,0.4142,1.0004,0.94708,0.93892,0.97968,0.94765,0.30887,0.288,0.96317,0.000458,0.000458,0.000458
66,7661.56,0.36484,0.39756,0.99313,0.95535,0.96129,0.98261,0.95278,0.29673,0.2699,0.95063,0.000445625,0.000445625,0.000445625
67,7772.31,0.36786,0.40582,0.99847,0.96188,0.93704,0.97999,0.94673,0.3003,0.28259,0.95239,0.00043325,0.00043325,0.00043325
68,7882.5,0.36394,0.38454,0.99956,0.95863,0.95545,0.98279,0.94994,0.29847,0.27006,0.948,0.000420875,0.000420875,0.000420875
69,7992.97,0.36652,0.38554,1.00384,0.95157,0.93795,0.98185,0.95075,0.2936,0.27927,0.93986,0.0004085,0.0004085,0.0004085
70,8103.41,0.36569,0.37567,1.00286,0.96322,0.94476,0.9805,0.94752,0.29781,0.26419,0.94725,0.000396125,0.000396125,0.000396125
71,8214.24,0.36,0.37786,0.99609,0.9499,0.95949,0.98106,0.95005,0.29603,0.26757,0.94585,0.00038375,0.00038375,0.00038375
72,8334.87,0.36107,0.37115,0.99911,0.96878,0.9513,0.97985,0.94774,0.28818,0.27123,0.93504,0.000371375,0.000371375,0.000371375
73,8460.74,0.36086,0.37414,0.99708,0.96046,0.96397,0.98434,0.95435,0.29029,0.24708,0.94156,0.000359,0.000359,0.000359
74,8587.6,0.35461,0.37795,0.9981,0.96646,0.94204,0.98226,0.95115,0.28708,0.26447,0.93838,0.000346625,0.000346625,0.000346625
75,8697.45,0.35203,0.35339,0.99183,0.95787,0.94511,0.98201,0.95132,0.29293,0.25552,0.94682,0.00033425,0.00033425,0.00033425
76,8808.07,0.34434,0.35342,0.98979,0.95809,0.96047,0.98412,0.95423,0.28501,0.24557,0.93432,0.000321875,0.000321875,0.000321875
77,8918.51,0.35027,0.35363,0.99019,0.97282,0.94781,0.98366,0.9533,0.2869,0.24322,0.94008,0.0003095,0.0003095,0.0003095
78,9029.35,0.34321,0.34935,0.98882,0.96758,0.95469,0.97959,0.94975,0.28356,0.24742,0.93451,0.000297125,0.000297125,0.000297125
79,9139.59,0.33986,0.35037,0.98636,0.9677,0.95331,0.98456,0.95513,0.2843,0.23006,0.93867,0.00028475,0.00028475,0.00028475
80,9255.94,0.34045,0.33307,0.98582,0.94753,0.97038,0.98295,0.95357,0.28344,0.24629,0.93346,0.000272375,0.000272375,0.000272375
81,9366.35,0.33362,0.33601,0.98123,0.96455,0.95385,0.98101,0.95279,0.28638,0.25495,0.93457,0.00026,0.00026,0.00026
82,9492.12,0.34203,0.34312,0.98763,0.94931,0.95981,0.98039,0.95343,0.28201,0.25116,0.93483,0.000247625,0.000247625,0.000247625
83,9617.39,0.33552,0.32985,0.98521,0.97151,0.94521,0.98163,0.9549,0.27577,0.23603,0.92681,0.00023525,0.00023525,0.00023525
84,9742.76,0.32725,0.31994,0.97835,0.96725,0.95313,0.98338,0.95803,0.27886,0.24579,0.93197,0.000222875,0.000222875,0.000222875
85,9859.89,0.33231,0.3291,0.97868,0.96043,0.96162,0.97876,0.95246,0.27884,0.25004,0.93256,0.0002105,0.0002105,0.0002105
86,9975.9,0.33096,0.31233,0.98345,0.97575,0.9505,0.97939,0.95122,0.27765,0.2506,0.93006,0.000198125,0.000198125,0.000198125
87,10091.6,0.32459,0.31682,0.97507,0.9639,0.95451,0.98073,0.95366,0.28191,0.24717,0.93189,0.00018575,0.00018575,0.00018575
88,10207.1,0.33492,0.32845,0.9781,0.96031,0.96525,0.9787,0.9524,0.2801,0.24786,0.9292,0.000173375,0.000173375,0.000173375
89,10322.5,0.32235,0.32208,0.97962,0.95391,0.96406,0.97496,0.9492,0.27805,0.25177,0.9302,0.000161,0.000161,0.000161
90,10438.5,0.31389,0.288,0.97247,0.96128,0.95421,0.9747,0.9486,0.2806,0.25741,0.93306,0.000148625,0.000148625,0.000148625
91,10560.6,0.20272,0.16118,0.90893,0.95679,0.95117,0.97625,0.94963,0.2751,0.25452,0.92808,0.00013625,0.00013625,0.00013625
92,10676,0.2022,0.15353,0.9122,0.96502,0.95965,0.97933,0.95147,0.2723,0.23975,0.92441,0.000123875,0.000123875,0.000123875
93,10801.2,0.19833,0.14666,0.90682,0.96035,0.95602,0.98217,0.95471,0.27334,0.23415,0.92511,0.0001115,0.0001115,0.0001115
94,10926.7,0.19352,0.13617,0.90139,0.96453,0.96113,0.98239,0.95761,0.27251,0.23619,0.92402,9.9125e-05,9.9125e-05,9.9125e-05
95,11041.3,0.19317,0.14238,0.90156,0.96441,0.95155,0.9827,0.95734,0.26998,0.24263,0.92331,8.675e-05,8.675e-05,8.675e-05
96,11156.4,0.18786,0.13331,0.89837,0.9693,0.95178,0.98031,0.95577,0.2695,0.24015,0.92291,7.4375e-05,7.4375e-05,7.4375e-05
97,11270.7,0.18582,0.13522,0.89773,0.96401,0.96117,0.98018,0.95569,0.26786,0.23679,0.92105,6.2e-05,6.2e-05,6.2e-05
98,11386.1,0.18446,0.13186,0.89793,0.96719,0.95768,0.97829,0.95249,0.26676,0.24046,0.91968,4.9625e-05,4.9625e-05,4.9625e-05
99,11501.3,0.18295,0.12569,0.89603,0.96579,0.95562,0.98046,0.95605,0.26916,0.23606,0.92335,3.725e-05,3.725e-05,3.725e-05
100,11617.1,0.18228,0.12701,0.89362,0.96946,0.9561,0.97964,0.9537,0.26765,0.2367,0.92215,2.4875e-05,2.4875e-05,2.4875e-05
